"STAT_AREA" "GNMFSAREA"
"696" "656201" "514"
"697" "656202" "514"
"698" "656231" "514"
"699" "656232" "514"
"700" "656300" "514"
"701" "656330" "514"
"702" "656401" "514"
"703" "656402" "514"
"704" "656403" "514"
"705" "656430" "514"
"706" "656601" "400"
"707" "656602" "400"
"708" "656631" "400"
"709" "656632" "400"
"710" "656700" "400"
"711" "656731" "400"
"712" "656732" "400"
"713" "656801" "400"
"714" "656802" "400"
"715" "664930" "610"
"716" "665000" "610"
"717" "665030" "610"
"718" "665100" "610"
"719" "665130" "610"
"720" "665200" "610"
"721" "665230" "610"
"722" "665301" "610"
"723" "665302" "610"
"724" "665331" "610"
"725" "665332" "610"
"726" "665333" "610"
"727" "665335" "519"
"728" "665336" "519"
"729" "665337" "519"
"730" "665338" "610"
"731" "665401" "519"
"732" "665403" "519"
"733" "665404" "519"
"734" "665405" "610"
"735" "665430" "517"
"736" "665500" "517"
"737" "665530" "517"
"738" "665600" "517"
"739" "665630" "513"
"740" "665700" "513"
"741" "665730" "513"
"742" "665800" "514"
"743" "665830" "514"
"744" "665900" "514"
"745" "665931" "514"
"746" "665932" "514"
"747" "666001" "514"
"748" "666002" "514"
"749" "666031" "514"
"750" "666101" "514"
"751" "666102" "514"
"752" "666131" "514"
"753" "666132" "514"
"754" "666200" "514"
"755" "666230" "514"
"756" "666300" "514"
"757" "666330" "514"
"758" "666401" "514"
"759" "666402" "514"
"760" "666431" "514"
"761" "666432" "514"
"762" "666501" "514"
"763" "666502" "514"
"764" "666532" "400"
"765" "666601" "400"
"766" "666602" "400"
"767" "666630" "400"
"768" "666700" "400"
"769" "666730" "400"
"770" "666801" "400"
"771" "666802" "400"
"772" "674930" "610"
"773" "675000" "610"
"774" "675030" "610"
"775" "675100" "610"
"776" "675130" "610"
"777" "675200" "610"
"778" "675230" "610"
"779" "675301" "610"
"780" "675302" "610"
"781" "675303" "610"
"782" "675304" "518"
"783" "675305" "518"
"784" "675331" "518"
"785" "675332" "518"
"786" "675333" "518"
"787" "675334" "518"
"788" "675400" "518"
"789" "675430" "518"
"790" "675500" "517"
"791" "675530" "517"
"792" "675600" "517"
"793" "675630" "513"
"794" "675700" "513"
"795" "675730" "513"
"796" "675800" "514"
"797" "675830" "514"
"798" "675900" "514"
"799" "675931" "514"
"800" "675932" "514"
"801" "676001" "514"
"802" "676002" "514"
"803" "676030" "514"
"804" "676100" "514"
"805" "676130" "514"
"806" "676200" "514"
"807" "676230" "514"
"808" "676300" "514"
"809" "676330" "514"
"810" "676400" "514"
"811" "676430" "514"
"812" "676501" "514"
"813" "676502" "514"
"814" "676531" "400"
"815" "676532" "400"
"816" "676601" "400"
"817" "676602" "400"
"818" "676630" "400"
"819" "676700" "400"
"820" "676730" "400"
"821" "676800" "400"
"822" "684900" "610"
"823" "684930" "610"
"824" "685000" "610"
"825" "685030" "610"
"826" "685100" "610"
"827" "685130" "610"
"828" "685200" "610"
"829" "685231" "610"
"830" "685232" "610"
"831" "685233" "518"
"832" "685301" "610"
"833" "685302" "610"
"834" "685303" "518"
"835" "685304" "518"
"836" "685305" "518"
"837" "685331" "518"
"838" "685332" "518"
"839" "685333" "518"
"840" "685400" "518"
"841" "685430" "518"
"842" "685500" "517"
"843" "685530" "517"
"844" "685600" "517"
"845" "685630" "513"
"846" "685700" "513"
"847" "685730" "513"
"848" "685800" "514"
"849" "685830" "514"
"850" "685900" "514"
"851" "685930" "514"
"852" "686000" "514"
"853" "686030" "514"
"854" "686100" "514"
"855" "686130" "514"
"856" "686200" "514"
"857" "686230" "514"
"858" "686301" "514"
"859" "686302" "514"
"860" "686330" "514"
"861" "686400" "514"
"862" "686431" "514"
"863" "686432" "514"
"864" "686500" "514"
"865" "686531" "400"
"866" "686532" "400"
"867" "686533" "400"
"868" "686534" "400"
"869" "686600" "400"
"870" "686630" "400"
"871" "686700" "400"
"872" "686730" "400"
"873" "686800" "400"
"874" "694900" "610"
"875" "694930" "610"
"876" "695000" "610"
"877" "695030" "610"
"878" "695100" "610"
"879" "695130" "610"
"880" "695200" "610"
"881" "695234" "518"
"882" "695235" "610"
"883" "695236" "518"
"884" "695237" "610"
"885" "695238" "518"
"886" "695239" "610"
"887" "695240" "518"
"888" "695241" "610"
"889" "695301" "518"
"890" "695302" "518"
"891" "695330" "518"
"892" "695400" "518"
"893" "695430" "518"
"894" "695500" "518"
"895" "695530" "517"
"896" "695600" "517"
"897" "695631" "513"
"898" "695632" "513"
"899" "695700" "513"
"900" "695701" "513"
"901" "695730" "513"
