"","strategy.permit","CHNK_earn.bySpec","CHUM_earn.bySpec","COHO_earn.bySpec","DCRB_earn.bySpec","KCRB_earn.bySpec","PCOD_earn.bySpec","PHLB_earn.bySpec","PINK_earn.bySpec","PLCK_earn.bySpec","POUND_earn.bySpec","SABL_earn.bySpec","SAC_earn.bySpec","SOCK_earn.bySpec","TCRB_earn.bySpec"
"4621","M17B T10A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458983496236347
"4622","M26B",NA,NA,NA,NA,NA,0.787591250900781,NA,NA,NA,NA,NA,NA,NA,NA
"4623","M26B M61B",NA,NA,NA,NA,NA,0.806235385854292,NA,NA,NA,NA,NA,NA,NA,NA
"4624","M26B M61B S03H",NA,NA,NA,NA,NA,0.257080111571347,NA,NA,NA,NA,NA,NA,0.406901802407104,NA
"4625","M26B M6BG",NA,NA,NA,NA,NA,0.981095671949055,NA,NA,NA,NA,NA,NA,NA,NA
"4626","M26B M6BG TB9AK",NA,NA,NA,NA,NA,0.676525744005761,NA,NA,NA,NA,NA,NA,NA,0.271689090907101
"4627","M26B M7GB",NA,NA,NA,NA,NA,0.359730217409296,NA,NA,NA,NA,NA,NA,NA,NA
"4628","M26B M91B",NA,NA,NA,NA,NA,0.989749682581044,NA,NA,NA,NA,NA,NA,NA,NA
"4629","M26B M91B S03M",NA,NA,NA,NA,NA,0.435808362981315,NA,NA,NA,NA,NA,NA,0.541945463237615,NA
"4630","M26B P09B S15B",NA,NA,0.145506749034179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631","M26B P09E S04H",NA,NA,NA,NA,NA,0.15430543657715,NA,NA,NA,NA,NA,NA,0.301339779866169,NA
"4632","M26B P91A S01A",NA,NA,NA,NA,NA,0.194372399613478,NA,NA,NA,NA,NA,NA,NA,NA
"4633","M26B Q11A",NA,NA,NA,NA,NA,0.241831382542391,NA,NA,NA,NA,NA,NA,NA,NA
"4634","M26B Q11B S15B Y61A",NA,NA,0.117333362837244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4635","M26B Q11K",NA,NA,NA,NA,NA,0.122337500458262,NA,NA,NA,NA,NA,NA,NA,NA
"4636","M26B Q11K S03T",NA,NA,NA,NA,NA,0.497505556818608,NA,NA,NA,NA,NA,NA,0.257832233741753,NA
"4637","M26B S01A",NA,0.201887458075633,NA,NA,NA,0.143047706587057,NA,0.540600820063556,NA,NA,NA,NA,NA,NA
"4638","M26B S01K",NA,NA,NA,NA,NA,0.201641384131001,NA,0.361452625919182,NA,NA,NA,NA,0.316727594684752,NA
"4639","M26B S01K TB9BK",NA,NA,0.143072813567567,NA,NA,0.145290486556833,NA,0.426767427854106,NA,NA,NA,NA,NA,0.256660622141502
