p_fshy,description,pfshy_species,pfshy_gear,pfshy_area
P07J,"SHRIMP , OTTER TRAWL, WESTWARD",shrimp, otter trawl, westward
P09D,"SHRIMP , POT GEAR VESSEL UNDER 60', YAKUTAT",shrimp, pot gear vessel under 60', yakutat
P09E,"SHRIMP , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND",shrimp, pot gear vessel under 60', prince william sound
P09H,"SHRIMP , POT GEAR VESSEL UNDER 60', COOK INLET",shrimp, pot gear vessel under 60', cook inlet
P09J,"SHRIMP , POT GEAR VESSEL UNDER 60', WESTWARD",shrimp, pot gear vessel under 60', westward
P17A,"SHRIMP , BEAM TRAWL, SOUTHEAST",shrimp, beam trawl, southeast
P17D,"SHRIMP , BEAM TRAWL, YAKUTAT",shrimp, beam trawl, yakutat
P17E,"SHRIMP , BEAM TRAWL, PRINCE WILLIAM SOUND",shrimp, beam trawl, prince william sound
P17H,"SHRIMP , BEAM TRAWL, COOK INLET",shrimp, beam trawl, cook inlet
P17J,"SHRIMP , BEAM TRAWL, WESTWARD",shrimp, beam trawl, westward
P91A,"SHRIMP , POT GEAR, SOUTHEAST",shrimp, pot gear, southeast
P91D,"SHRIMP , POT GEAR VESSEL 60' OR OVER, YAKUTAT",shrimp, pot gear vessel 60' or over, yakutat
P91E,"SHRIMP , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND",shrimp, pot gear vessel 60' or over, prince william sound
P91H,"SHRIMP , POT GEAR VESSEL 60' OR OVER, COOK INLET",shrimp, pot gear vessel 60' or over, cook inlet
P91J,"SHRIMP , POT GEAR VESSEL 60' OR OVER, WESTWARD",shrimp, pot gear vessel 60' or over, westward
Q11A,"SEA CUCUMBER , DIVING GEAR, SOUTHEAST",sea cucumber, diving gear, southeast
Q11B,"SEA CUCUMBER , DIVING GEAR, STATEWIDE",sea cucumber, diving gear, statewide
Q11K,"SEA CUCUMBER , DIVING GEAR, KODIAK",sea cucumber, diving gear, kodiak
R18B,"CLAMS , SHOVEL, STATEWIDE",clams, shovel, statewide
