stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
585601,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585602,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585603,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585631,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585632,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
585701,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
585730,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
585801,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
585802,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
585830,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
590162,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
590165,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
590176,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
590177,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
590178,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
593164,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
593165,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
593166,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
593167,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
593176,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
593177,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
593178,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
595030,NA,AB (Groundfish-Salmon),595030,Unassigned,NA,,Unassigned
595300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
595330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
595400,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595430,NA,AB (Groundfish-Salmon),595430,Alaska Peninsula,4,,Alaska Peninsula
595431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595433,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595434,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595501,NA,AB (Groundfish-Salmon),595501,Alaska Peninsula,4,,Alaska Peninsula
595502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595503,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595504,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595505,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595506,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595531,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595532,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595533,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
595631,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
595632,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
595700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
595730,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
595801,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
595802,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
595831,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
595832,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
600164,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
600165,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
600166,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
600167,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
600168,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
600171,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
600172,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
600173,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
603165,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
603166,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
603167,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
603172,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
603173,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
605300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
605330,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605400,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605501,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605503,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605504,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605505,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
