stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
715202,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
715230,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
715231,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
715232,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
715300,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715330,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715400,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715500,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
715530,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
715600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
715930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
716000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
716100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
716331,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
725100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
725130,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
725201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
725202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
725203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
725230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
725300,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725330,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725400,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725500,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
725530,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
725600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
725930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
726001,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
726002,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
726003,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
726031,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
726032,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
726300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
726330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
735100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
735130,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
735201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
735202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
735203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
735230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
735300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
735400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
735430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
735530,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
735600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
735930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736000,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736001,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736002,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736031,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736032,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736100,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
736200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
736230,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
736300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
736330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
744930,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745204,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745205,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745206,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745207,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
745300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745600,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
745700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
745730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
745800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
745830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
745900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
745930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
746000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
746030,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
746100,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
746130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
746230,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755133,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755134,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755135,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755204,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755205,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755206,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755207,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755208,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755209,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
755300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755500,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755600,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755700,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755730,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
755800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
755830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
755900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
755930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
756000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
756030,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
756100,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
756130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
756200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
756230,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765100,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765131,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765133,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765134,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765135,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765136,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765137,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765138,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765139,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765141,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765142,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765143,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765144,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765145,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765146,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765147,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765148,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765201,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765202,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765204,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765205,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765206,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
765300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765500,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765530,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765600,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765700,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765730,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
765800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
765830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
765900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
765930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
766000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
766030,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
766100,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
766130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
766200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775100,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775133,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775134,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775135,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775136,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775137,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775138,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775139,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
775430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775530,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775700,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775730,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
775800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
775830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
775900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
775930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
776000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
776030,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
776100,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
776130,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
785030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
785101,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785102,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785103,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785130,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785134,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785135,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
785430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
785500,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
785600,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
785630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
785800,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
785830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
785900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
785930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
786000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
786030,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
786100,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
786130,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795101,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795102,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795134,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
795300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795600,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795730,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795800,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795830,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795900,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
795930,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
796000,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
796030,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
805101,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805102,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805103,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805133,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
805330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
805400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
805430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
805600,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
815100,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815101,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815133,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815134,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815135,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815136,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
815430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
815431,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
815630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
815700,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
815730,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
815800,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
825100,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825131,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825132,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825133,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825134,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
825400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
825430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
825630,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
825830,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
835100,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
835130,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
835200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
835230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
835300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
835400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
835430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
835800,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
835830,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
845100,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
845130,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
845201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
845202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
845230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
845430,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
846130,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855130,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855230,NA,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855231,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855232,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855233,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855234,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
855300,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
865201,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865202,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865203,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865204,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865205,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865231,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865232,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865233,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865234,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865235,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865236,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865300,NA,AB (Groundfish-Salmon),865300,Western Aleutians,4,,Western Aleutians
865301,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
865302,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
875130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
875200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
875231,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
875232,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
875233,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
875301,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
875302,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
885130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
885200,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
885230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
885300,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
885400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
895130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
895200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
895230,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
895300,Western Aleutians,AB (Groundfish-Salmon),NA,,NA,,Western Aleutians
895330,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
999999,NA,AB (Groundfish-Salmon),999999,NA,NA,Interim value for fish ticket entry,NA
